Price;Bedrooms;Floorplans;Address
N/A;2 Beds;1 floorplan;4654-56 N. Monticello Ave., Chicago IL
$1,695+;2 - 3 Beds;2 floorplans;4701-4707 N. Albany & 3048-3050 W. Leland, Chicago IL
$1,080;1 Bed;1 floorplan;4718-24 N. Bernard St., Chicago IL
$2,100;;;4905 N Drake Ave #3, Chicago IL
$2,500;;;5000 Lawndale Ave #2, Chicago IL
$1,695;;;4701 N Albany Ave, Chicago IL
$1,450;;;4746 N Sacramento Ave, Chicago IL
$1,250;;;5022 N Harding Ave #3N, Chicago IL
$2,200;;;4605 N Kimball Ave #2N, Chicago IL
$2,200;;;4607 N Kimball Ave #1S, Chicago IL
$1,450;;;4927 N Kedzie Ave #2W, Chicago IL
$1,750;;;4458 N Kedzie Ave #2F, Chicago IL
$1,750;;;4946 N Christiana Ave #1N, Chicago IL
$2,025;;;4603 N Kimball Ave #1S, Chicago IL
$1,750;3 Beds;1 floorplan;4946 N. Christiana, Chicago IL
$1,240;;;3218 W Eastwood Ave #2R, Chicago IL
$2,400;;;3336 W Lawrence Ave #2, Chicago IL
$1,450;;;4929 N Kedvale Ave #2, Chicago IL
$1,750;;;4418 N Sacramento Ave #1, Chicago IL
$1,400;;;3752 W Agatite Ave #1, Chicago IL
$1,450;;;4947 N Albany Ave #GRDN, Chicago IL
$2,200;;;5000 Lawndale Ave #G, Chicago IL
$1,175;;;3553 W Ainslie St #3, Chicago IL
$1,500;;;4644 N Drake Ave #B, Chicago IL
$1,775;;;5016 N Harding Ave #1, Chicago IL
$1,300;;;4932 N Kentucky Ave, Chicago IL
$1,600;;;4932 N Kentucky Ave #1, Chicago IL
$1,780;2 Beds;1 floorplan;3634 W. Montrose, Chicago IL
$800;;;4901 N Christiana Ave #1, Chicago IL
$1,275+;1 - 2 Beds;4 floorplans;3102-10 W. Sunnyside Ave, Chicago IL
$1,400+;2 Beds;2 floorplans;4815-21 N Christiana Ave, Chicago IL
$1,150;2 Beds;1 floorplan;4831 N. Sawyer, Chicago IL
$1,475;2 Beds;1 floorplan;4946-48 N Ridgeway Ave, Chicago IL
$1,200;;;4823 N Springfield Ave, Chicago IL
$1,275+;1 - 2 Beds;3 floorplans;3123 W Lawrence Ave, Chicago IL
$1,500;2 Beds;1 floorplan;5001 N Sawyer, Chicago IL
$1,250;2 Beds;1 floorplan;5020 N. Harding Ave., Chicago IL
$1,475+;2 Beds;3 floorplans;4844-4858 N. Drake 3537-3539 W. Ainslie, Chicago IL
$1,275+;1 - 2 Beds;4 floorplans;3001 W Lawrence, Chicago IL
$1,375;2 Beds;1 floorplan;3316-3320 W. Lawrence, Chicago IL
$1,006+;1 - 2 Beds;13 floorplans;4815-4823 N Springfield, Chicago IL
$1,075;;;W Leland Ave #2R, Chicago IL
$1,175;;;Sunnyside & St Louis, Chicago IL
$1,150;;;4831 N Sawyer Ave #G, Chicago IL
$1,475;;;4429 N Bernard St #1, Chicago IL
$1,150;;;3604 West Sunnyside Avenue, Chicago IL
$1,560+;3 Beds;2 floorplans;4804-10 N. Ridgeway, Chicago IL
$1,400;2 Beds;1 floorplan;4952-58 N. St. Louis, Chicago IL
$1,500+;3 Beds;2 floorplans;4838 N. Troy St, Chicago IL
